stage,r,N,A_hh,N_hh,C,R_asset,R_labor,finite,hjb_converged
inner_primary_upper,0.007370613883670197,2.0,7.285162272537417,0.8696527220332533,1.1793273241276043,-2.714837727462583,-1.1303472779667467,True,True
inner_brentq,0.007370613883670197,0.2,12.928266615860602,1.2673363712379861,0.9776130522008568,2.9282666158606023,1.0673363712379862,True,True
inner_brentq,0.007370613883670197,2.0,7.285162272537417,0.8696527220332533,1.1793273241276043,-2.714837727462583,-1.1303472779667467,True,True
inner_brentq,0.007370613883670197,1.0741956418175083,9.972885594174166,1.0637298720095,1.0665825383874767,-0.027114405825834353,-0.010465769808008174,True,True
inner_brentq,0.007370613883670197,1.065706949871186,9.999767074211206,1.0656170993368868,1.0656415889366753,-0.00023292578879363646,-8.985053429921841e-05,True,True
inner_brentq,0.007370613883670197,1.0656334480169984,10.000000002223675,1.0656334485672123,1.065633448423122,2.2236754659843427e-09,5.502138744617469e-10,True,True
inner_brentq,0.007370613883670197,1.0656334490498152,9.999999998951445,1.065633448337472,1.065633448537516,-1.0485550205885374e-09,-7.123430734168323e-10,True,True
outer_brentq,0.007370613883670197,1.0656334480169984,10.000000002223675,1.0656334485672123,1.065633448423122,2.2236754659843427e-09,5.502138744617469e-10,True,True
inner_primary_lower,0.00737061337998489,0.2,12.928265325095886,1.2673363789772574,0.9776130466941835,2.928265325095886,1.0673363789772574,True,True
inner_primary_upper,0.00737061337998489,2.0,7.2851614833612945,0.8696527231221496,1.1793273204496209,-2.7148385166387055,-1.1303472768778504,True,True
inner_brentq,0.00737061337998489,0.2,12.928265325095886,1.2673363789772574,0.9776130466941835,2.928265325095886,1.0673363789772574,True,True
inner_brentq,0.00737061337998489,2.0,7.2851614833612945,0.8696527231221496,1.1793273204496209,-2.7148385166387055,-1.1303472768778504,True,True
inner_brentq,0.00737061337998489,1.074195645510924,9.972884550192592,1.0637298752177369,1.0665825340560953,-0.027115449807407543,-0.010465770293187182,True,True
inner_brentq,0.00737061337998489,1.0657069531999885,9.99976602898279,1.065617102657266,1.0656415845556495,-0.00023397101720945557,-8.98505427224805e-05,True,True
inner_brentq,0.00737061337998489,1.065633451339131,9.99999895699858,1.0656334518893313,1.0656334440412951,-1.0430014203421933e-06,5.502003297408464e-10,True,True
inner_brentq,0.00737061337998489,1.0656334523719477,9.999998953725289,1.0656334516596018,1.0656334441556803,-1.0462747113137993e-06,-7.123459599966964e-10,True,True
outer_brentq,0.00737061337998489,1.065633451339131,9.99999895699858,1.0656334518893313,1.0656334440412951,-1.0430014203421933e-06,5.502003297408464e-10,True,True
inner_primary_lower,0.007370613883670197,0.2,12.928266615860602,1.2673363712379861,0.9776130522008568,2.9282666158606023,1.0673363712379862,True,True
inner_primary_upper,0.007370613883670197,2.0,7.285162272537417,0.8696527220332533,1.1793273241276043,-2.714837727462583,-1.1303472779667467,True,True
inner_brentq,0.007370613883670197,0.2,12.928266615860602,1.2673363712379861,0.9776130522008568,2.9282666158606023,1.0673363712379862,True,True
inner_brentq,0.007370613883670197,2.0,7.285162272537417,0.8696527220332533,1.1793273241276043,-2.714837727462583,-1.1303472779667467,True,True
inner_brentq,0.007370613883670197,1.0741956418175083,9.972885594174166,1.0637298720095,1.0665825383874767,-0.027114405825834353,-0.010465769808008174,True,True
inner_brentq,0.007370613883670197,1.065706949871186,9.999767074211206,1.0656170993368868,1.0656415889366753,-0.00023292578879363646,-8.985053429921841e-05,True,True
inner_brentq,0.007370613883670197,1.0656334480169984,10.000000002223675,1.0656334485672123,1.065633448423122,2.2236754659843427e-09,5.502138744617469e-10,True,True
inner_brentq,0.007370613883670197,1.0656334490498152,9.999999998951445,1.065633448337472,1.065633448537516,-1.0485550205885374e-09,-7.123430734168323e-10,True,True
final,0.007370613883670197,1.0656334480169984,10.000000002223675,1.0656334485672123,1.065633448423122,2.2236754659843427e-09,5.502138744617469e-10,True,True
