run,amplitude,horizon,k,t,epsilon_i,w,N,Y,pi,r,i,tr,Pi,AC,A_hh,N_hh,C,R_asset,R_labor,R_goods,R_nkpc,R_fisher,R_taylor,R_fiscal,R_profits,R_wealth,mass_error,min_mass,neg_count,nan_count,hjb_residual,labor_kkt,cfoc
amp1.0_T12.0,1.0,12.0,151,7.550000000000001,0.0,0.8344791485820491,1.0661141821220563,1.0661141821220563,-0.0003941864206669121,0.007173520673336741,0.006779334252669828,0.06171230151490177,0.17645584433610262,8.282797492553757e-06,10.000000006370806,1.0661141824349116,1.066105118304762,6.370806104882831e-09,3.12855297224246e-10,7.810198017098864e-07,-3.2526065174565133e-19,0.0,0.0,0.0,0.0,2.0037830893314857e-14,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,1.9984014443252818e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,152,7.6000000000000005,0.0,0.834466853799057,1.066109406870007,1.066109406870007,-0.0003978209596233927,0.0071717034038585,0.006773882444235107,0.061727910344874015,0.17646800810907026,8.43620454316053e-06,10.00000000637997,1.0661094071663688,1.0661001671669237,6.379970329817297e-09,2.9636182397041466e-10,8.034985401474856e-07,5.827586677109586e-19,0.0,0.0,0.0,0.0,3.636820662331064e-16,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,1.9984014443252818e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,153,7.65,0.0,0.8344543938243645,1.0661045451543405,1.0661045451543405,-0.0004014204315003754,0.007169903667920009,0.0067684832364196335,0.061743306617824664,0.17648033365712515,8.589517050373598e-06,10.000000006952444,1.0661045454892732,1.0660951620917887,6.9524439538781735e-09,3.34932748202732e-10,7.935455014529287e-07,1.0570971181733668e-18,0.0,0.0,0.0,0.0,-1.3527724125549068e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.887379141862766e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,154,7.7,0.0,0.8344418242247106,1.066099667363594,1.066099667363594,-0.0004049843231892189,0.007168121722075587,0.006763137398886368,0.061758505465279306,0.17649277345032768,8.742673031834293e-06,10.00000000646991,1.0660996676349375,1.0660901036364374,6.469910829309811e-09,2.713433921996966e-10,8.210541248241373e-07,-2.168404344971009e-19,0.0,0.0,0.0,0.0,1.1151537304660659e-14,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,1.7763568394002505e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,155,7.75,0.0,0.8344290914185178,1.0660947045806795,1.0660947045806795,-0.00040851228802494513,0.007166357739657724,0.006757845451632779,0.061773487959825193,0.17650537325507545,8.895616254473468e-06,10.00000000679579,1.0660947048865332,1.0660849920849087,6.795790596925144e-09,3.058537867417499e-10,8.168795162793697e-07,9.0801931945661e-19,0.0,0.0,0.0,0.0,-1.1697361312464831e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,2.55351295663786e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,156,7.800000000000001,0.0,0.8344162359457895,1.0660897081062317,1.0660897081062317,-0.000412003818424511,0.007164611974457941,0.00675260815603343,0.06178826446820268,0.17651809840339674,9.048284287678988e-06,10.000000006350785,1.066089708352335,1.066079827965412,6.350784786945951e-09,2.461033599132634e-10,8.318565320279071e-07,-4.472333961502706e-19,0.0,0.0,0.0,0.0,5.6735507075086054e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,2.1094237467877974e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,157,7.8500000000000005,0.0,0.8344032433049409,1.0660846588832218,1.0660846588832218,-0.00041545852817109167,0.0071628846195846505,0.006747426091413559,0.06180282835562376,0.17653096125425538,9.200619164648936e-06,10.000000006085028,1.066084659069432,1.066074611672117,6.085027592916958e-09,1.8621015840381006e-10,8.465919402199004e-07,1.2197274440461925e-19,0.0,0.0,0.0,0.0,-5.990152903764129e-14,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,1.5543122344752192e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,158,7.9,0.0,0.834390112777214,1.0660795554278475,1.0660795554278475,-0.0004188759873499997,0.007161175889995197,0.0067422999026451975,0.06181717717248658,0.17654396238395037,9.35256097329494e-06,10.000000005984571,1.066079555627267,1.0660693436380746,5.9845710609351954e-09,1.9941959195080017e-10,8.592287996010014e-07,9.622294280808852e-19,0.0,0.0,0.0,0.0,1.6834167845374828e-15,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,1.887379141862766e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,159,7.95,0.0,0.8343768505223236,1.0660744051980375,1.0660744051980375,-0.00042225576367531647,0.007159486001832538,0.006737230238157222,0.061831310676414314,0.17655709651685078,9.504049588789344e-06,10.000000005945425,1.066074405375062,1.0660640243191977,5.945425485265332e-09,1.7702439514266644e-10,8.76829251076926e-07,1.1655173354219173e-18,0.0,0.0,0.0,0.0,3.555809923035894e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.5543122344752192e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,160,8.0,0.0,0.8343634409672764,1.0660691877965747,1.0660691877965747,-0.0004255974431241247,0.007157815162108135,0.00673221771898401,0.06184522175478961,0.17657037693213914,9.655025295842113e-06,10.000000006212144,1.0660691879994049,1.0660586541200834,6.21214368834444e-09,2.0283019708244865e-10,8.786511954445566e-07,-3.7947076036992655e-19,0.0,0.0,0.0,0.0,-1.3410664595754998e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.5543122344752192e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,161,8.05,0.0,0.834349920126045,1.0660639486883734,1.0660639486883734,-0.00042890056474751597,0.007156163601296438,0.0067272630365489226,0.06185891955264568,0.17658377282427293,9.805426699960257e-06,10.000000005997261,1.0660639488663366,1.0660532335825474,5.997261354195871e-09,1.7796319973228947e-10,9.096791259933286e-07,1.1519648082658485e-19,0.0,0.0,0.0,0.0,-2.8708131292177444e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.9984014443252818e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,162,8.1,0.0,0.8343362319898433,1.0660586159388368,1.0660586159388368,-0.0004321647754080247,0.007154531495966184,0.00672236672055816,0.06187238434574563,0.1765973320399934,9.955196126788613e-06,10.000000006754393,1.0660586161916554,1.0660477630175509,6.754392600782921e-09,2.528186549000111e-10,8.977251590979392e-07,-4.675621868843738e-19,0.0,0.0,0.0,0.0,4.658385383641823e-15,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.5543122344752192e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,163,8.15,0.0,0.8343224512561797,1.0660532843924087,1.0660532843924087,-0.00043538955376525853,0.007152919106787568,0.006717529553022309,0.06188563734272064,0.1766109907188067,1.0104269626335034e-05,10.000000006340656,1.0660532846045867,1.0660422430744676,6.340656000247691e-09,2.1217805290518754e-10,9.370483147167527e-07,-1.2197274440461925e-19,0.0,0.0,0.0,0.0,3.736539691277297e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.7763568394002505e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,164,8.200000000000001,0.0,0.8343084933510074,1.0660478456400178,1.0660478456400178,-0.00043857460231068,0.007151326582514857,0.006712751980204177,0.061898649965253,0.1766248211124178,1.0252591589409124e-05,10.000000007308548,1.0660478459625053,1.0660366740009903,7.308548433115902e-09,3.2248759218589385e-10,9.190474380094541e-07,4.336808689942018e-19,0.0,0.0,0.0,0.0,-1.936437299640309e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.2212453270876722e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,165,8.25,0.0,0.8342944382935717,1.0660424014258172,1.0660424014258172,-0.0004417193696648575,0.007149754198837769,0.006708034829172911,0.06191144498582468,0.176638754834593,1.0400096541761692e-05,10.000000006801457,1.0660424016875198,1.0660310564683018,6.801457175242831e-09,2.617026595430616e-10,9.448609736628336e-07,-5.55653613398821e-19,0.0,0.0,0.0,0.0,6.556986229748051e-14,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,1.4432899320127035e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,166,8.3,0.0,0.8342802325975829,1.066036882962516,1.066036882962516,-0.0004448235442304051,0.007148202111554995,0.0067033785673245895,0.06192400368578556,0.17665283755842084,1.0546728525115184e-05,10.000000006997414,1.0660368832282954,1.0660253908132296,6.99741420362443e-09,2.657793984894852e-10,9.454207613032121e-07,2.371692252312041e-19,0.0,0.0,0.0,0.0,-7.048561123060727e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.6653345369377348e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,167,8.35,0.0,0.8342659069681876,1.0660313289982077,1.0660313289982077,-0.00044788665379526883,0.007146670556772562,0.0066987839029772935,0.0619363334637532,0.1766670430299492,1.0692425066431403e-05,10.000000006636911,1.0660313292386665,1.066019677589914,6.636911464852346e-09,2.4045876401146415e-10,9.589832273021645e-07,1.2332799712022613e-18,0.0,0.0,0.0,0.0,1.1877095139366852e-14,6.661338147750939e-16,0.0,0,0,1.3642420526593924e-12,1.4432899320127035e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,168,8.4,0.0,0.8342514547442156,1.0660257305997631,1.0660257305997631,-0.00045090831802672906,0.007145159724656832,0.006694251406630103,0.06194843023557432,0.17668137692457997,1.0837127565566066e-05,10.000000006365763,1.0660257308036187,1.0660139172628704,6.365763027815774e-09,2.0385559906799244e-10,9.76209327141516e-07,8.538092108323347e-19,0.0,0.0,0.0,0.0,-4.366636955179578e-16,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,9.992007221626409e-16,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,169,8.450000000000001,0.0,0.8342368634833927,1.066020071449134,1.066020071449134,-0.000453888136418389,0.007143669815461003,0.0066897816790426135,0.06196028796780011,0.1766958498566435,1.0980776422744436e-05,10.000000006364608,1.066020071660025,1.0660081102847663,6.364608395870164e-09,2.1089108237504206e-10,9.803879448909544e-07,5.353248226647178e-19,0.0,0.0,0.0,0.0,2.475622644368728e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.1102230246251565e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,170,8.5,0.0,0.834222159651115,1.0660143849481494,1.0660143849481494,-0.00045682567093677603,0.007142201048201809,0.006685375377265033,0.061971912882571936,0.17671043920677929,1.1123310769831444e-05,10.000000005982175,1.0660143850937978,1.0660022572122054,5.9821747555588445e-09,1.4564838224373489e-10,1.0044251741138956e-06,5.692061405548898e-19,0.0,0.0,0.0,0.0,-2.9842756700738287e-14,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,1.1102230246251565e-15,2.220446049250313e-16
