variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
G2_B_WIDE_2,upper_a,a_forward,offending,2.929287959e-01,,,,,,,15,19,1,3.526315789e+00,1.000000000e+01,1.300000000e+00,2.929287959e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.858361367e-01,,,,,,,16,19,0,3.894736842e+00,1.000000000e+01,8.000000000e-01,2.858361367e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.990498682e-01,,,,,,,16,19,1,3.894736842e+00,1.000000000e+01,1.300000000e+00,2.990498682e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.937736172e-01,,,,,,,17,19,0,4.263157895e+00,1.000000000e+01,8.000000000e-01,2.937736172e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.035440069e-01,,,,,,,17,19,1,4.263157895e+00,1.000000000e+01,1.300000000e+00,3.035440069e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.998223737e-01,,,,,,,18,19,0,4.631578947e+00,1.000000000e+01,8.000000000e-01,2.998223737e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.066096029e-01,,,,,,,18,19,1,4.631578947e+00,1.000000000e+01,1.300000000e+00,3.066096029e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.042282478e-01,,,,,,,19,19,0,5.000000000e+00,1.000000000e+01,8.000000000e-01,3.042282478e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.084142775e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.084142775e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.071949946e-01,,,,,,,20,19,0,5.368421053e+00,1.000000000e+01,8.000000000e-01,3.071949946e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.091018276e-01,,,,,,,20,19,1,5.368421053e+00,1.000000000e+01,1.300000000e+00,3.091018276e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.088942964e-01,,,,,,,21,19,0,5.736842105e+00,1.000000000e+01,8.000000000e-01,3.088942964e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.087973991e-01,,,,,,,21,19,1,5.736842105e+00,1.000000000e+01,1.300000000e+00,3.087973991e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.094730854e-01,,,,,,,22,19,0,6.105263158e+00,1.000000000e+01,8.000000000e-01,3.094730854e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.076113682e-01,,,,,,,22,19,1,6.105263158e+00,1.000000000e+01,1.300000000e+00,3.076113682e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.090589613e-01,,,,,,,23,19,0,6.473684211e+00,1.000000000e+01,8.000000000e-01,3.090589613e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.056422696e-01,,,,,,,23,19,1,6.473684211e+00,1.000000000e+01,1.300000000e+00,3.056422696e-01
