state_id,group,variant,b_index,a_index,z_index,b,a,mu_a,mu_b,mu_W,rectangular_upper_a_condition_mu_a_le_0,rectangular_upper_a_satisfied,rectangular_upper_b_condition_mu_b_le_0,rectangular_upper_b_satisfied,joint_W_condition_mu_W_le_0,joint_W_satisfied,W_s=a+b,active_candidate_constraints_R,active_candidate_constraints_W_symbolic
J1_A77_B140|139|75|1,TOP_OFFENDER,J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,-1.432371347e-01,3.118098535e-03,-1.401190362e-01,True,True,False,False,True,True,59.078947373,upper_b,W activity unresolved (no W_max): W_s=59.078947373; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J1_A77_B140|139|76|1,TOP_OFFENDER,J1_A77_B140,139,76,1,4.921052632e+01,1.000000000e+01,-1.619602544e-01,1.758505363e-02,-1.443752008e-01,True,True,False,False,True,True,59.21052632,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=59.21052632; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J3_A153_B120|119|147|1,TOP_OFFENDER,J3_A153_B120,119,147,1,4.184210526e+01,9.671052632e+00,-1.160287227e-01,4.353314391e-03,-1.116754083e-01,True,True,False,False,True,True,51.513157892,upper_b,W activity unresolved (no W_max): W_s=51.513157892; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|119|148|1,TOP_OFFENDER,J3_A153_B120,119,148,1,4.184210526e+01,9.736842105e+00,-1.333286705e-01,1.847327678e-02,-1.148553937e-01,True,True,False,False,True,True,51.578947365,upper_b,W activity unresolved (no W_max): W_s=51.578947365; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|119|149|1,TOP_OFFENDER,J3_A153_B120,119,149,1,4.184210526e+01,9.802631579e+00,-1.503161875e-01,3.221944759e-02,-1.180967399e-01,True,True,False,False,True,True,51.644736839,upper_b,W activity unresolved (no W_max): W_s=51.644736839; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|119|150|1,TOP_OFFENDER,J3_A153_B120,119,150,1,4.184210526e+01,9.868421053e+00,-1.663817264e-01,4.509449740e-02,-1.212872290e-01,True,True,False,False,True,True,51.710526313,upper_b,W activity unresolved (no W_max): W_s=51.710526313; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|119|151|1,TOP_OFFENDER,J3_A153_B120,119,151,1,4.184210526e+01,9.934210526e+00,-1.803649440e-01,5.616085431e-02,-1.242040897e-01,True,True,False,False,True,True,51.776315786,upper_b,W activity unresolved (no W_max): W_s=51.776315786; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|119|152|1,TOP_OFFENDER,J3_A153_B120,119,152,1,4.184210526e+01,1.000000000e+01,-1.900360420e-01,6.362594624e-02,-1.264100957e-01,True,True,False,False,True,True,51.84210526,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=51.84210526; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J4_A153_B140|139|149|1,TOP_OFFENDER,J4_A153_B140,139,149,1,4.921052632e+01,9.802631579e+00,-1.490410022e-01,7.126612376e-03,-1.419143899e-01,True,True,False,False,True,True,59.013157899,upper_b,W activity unresolved (no W_max): W_s=59.013157899; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|139|150|1,TOP_OFFENDER,J4_A153_B140,139,150,1,4.921052632e+01,9.868421053e+00,-1.650810944e-01,1.996897737e-02,-1.451121171e-01,True,True,False,False,True,True,59.078947373,upper_b,W activity unresolved (no W_max): W_s=59.078947373; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|139|151|1,TOP_OFFENDER,J4_A153_B140,139,151,1,4.921052632e+01,9.934210526e+00,-1.790382778e-01,3.100155186e-02,-1.480367260e-01,True,True,False,False,True,True,59.144736846,upper_b,W activity unresolved (no W_max): W_s=59.144736846; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|139|152|1,TOP_OFFENDER,J4_A153_B140,139,152,1,4.921052632e+01,1.000000000e+01,-1.886941469e-01,3.844034001e-02,-1.502538069e-01,True,True,False,False,True,True,59.21052632,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=59.21052632; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J5_A153_B160|159|151|1,TOP_OFFENDER,J5_A153_B160,159,151,1,5.657894737e+01,9.934210526e+00,-1.778682098e-01,7.500771578e-03,-1.703674383e-01,True,True,False,False,True,True,66.513157896,upper_b,W activity unresolved (no W_max): W_s=66.513157896; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J5_A153_B160|159|152|1,TOP_OFFENDER,J5_A153_B160,159,152,1,5.657894737e+01,1.000000000e+01,-1.875122934e-01,1.491625647e-02,-1.725960369e-01,True,True,False,False,True,True,66.57894737,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=66.57894737; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
