metric,value
top17.closure_error,7.993605777301127e-14
top17.largest_component_class,b_backward_term
top17.largest_component_abs,802.3829272582019
top17.branch_inconsistent,False
top17.is_f0,True
top18.rank,18
top18.row,35
top18.node,35
top18.j,1
top18.i,2
top18.z,0
top18.family,F0
top18.residual,-10.08334766913732
top18.abs_residual,10.08334766913732
top18.residual_sign,-1
top18.sector,B
top18.liquid_label,B
top18.transfer_label,B
top18.consumption,0.724075984548973
top18.labor,1.053387414260572
top18.transfer,0.5591065522862703
top18.mu_a,0.5959486575494167
top18.mu_b,-1.241993168199354
top18.stored_b_backward_rate,3.3711243136839615
top18.stored_b_forward_rate,0.0
top18.stored_a_backward_rate,0.0
top18.stored_a_forward_rate,1.1323024493438918
top18.neighbours,{'up': 36, 'down': 34, 'right': 67, 'left': 2}
top18.represented_destinations,((34, 3.3711243136839615, 'b_backward_term'), (67, 1.1323024493438918, 'a_forward_term'))
top18.rhoV_term,-1.5954208063617983
top18.utility_source_term,1.6087781115306596
top18.b_backward_term,271.2870164103485
top18.b_forward_term,0.0
top18.a_backward_term,0.0
top18.a_forward_term,86.65958069116877
top18.boundary_term,0.0
top18.diagonal_term,-385.8333846557567
top18.z_switch_term,17.790082579933237
top18.reconstructed_R,-10.083347669137272
top18.closure_error,4.796163466380676e-14
top18.largest_component_class,b_backward_term
top18.largest_component_abs,271.2870164103485
top18.branch_inconsistent,False
top18.is_f0,True
top19.rank,19
top19.row,101
top19.node,101
top19.j,3
top19.i,6
top19.z,0
top19.family,F0
top19.residual,-10.051442525061855
top19.abs_residual,10.051442525061855
top19.residual_sign,-1
top19.sector,B
top19.liquid_label,B
top19.transfer_label,B
top19.consumption,0.7958363026379806
top19.labor,1.0143136831345467
top19.transfer,1.5521603262363366
top19.mu_a,1.6626866413516324
top19.mu_b,-3.335096560267327
top19.stored_b_backward_rate,9.05240494929703
top19.stored_b_forward_rate,0.0
top19.stored_a_backward_rate,0.0
top19.stored_a_forward_rate,3.1591046185681018
top19.neighbours,{'up': 102, 'down': 100, 'right': 130, 'left': 71}
top19.represented_destinations,((100, 9.05240494929703, 'b_backward_term'), (130, 3.1591046185681018, 'a_forward_term'))
top19.rhoV_term,-1.4243474378255123
top19.utility_source_term,1.4380422489089135
top19.b_backward_term,649.9542480804233
top19.b_forward_term,0.0
top19.a_backward_term,0.0
top19.a_forward_term,216.93407252593033
top19.boundary_term,0.0
top19.diagonal_term,-893.4107422122801
top19.z_switch_term,16.457284269781155
top19.reconstructed_R,-10.051442525061873
top19.closure_error,1.7763568394002505e-14
top19.largest_component_class,b_backward_term
top19.largest_component_abs,649.9542480804233
top19.branch_inconsistent,False
top19.is_f0,True
top20.rank,20
top20.row,130
top20.node,130
top20.j,4
top20.i,6
top20.z,0
top20.family,F0
top20.residual,-10.048549209508835
top20.abs_residual,10.048549209508835
top20.residual_sign,-1
top20.sector,B
top20.liquid_label,B
top20.transfer_label,B
top20.consumption,0.8183223192252138
top20.labor,1.0030718068796909
top20.transfer,1.971429974506402
top20.mu_a,2.1187983835871647
top20.mu_b,-4.146700604769875
top20.stored_b_backward_rate,11.255330212946804
top20.stored_b_forward_rate,0.0
top20.stored_a_backward_rate,0.0
top20.stored_a_forward_rate,4.025716928815613
top20.neighbours,{'up': 131, 'down': 129, 'right': 157, 'left': 101}
top20.represented_destinations,((129, 11.255330212946804, 'b_backward_term'), (157, 4.025716928815613, 'a_forward_term'))
top20.rhoV_term,-1.37338960698464
top20.utility_source_term,1.3917745343649255
top20.b_backward_term,779.0900039531796
top20.b_forward_term,0.0
top20.a_backward_term,0.0
top20.a_forward_term,267.03767077318804
top20.boundary_term,0.0
top20.diagonal_term,-1072.2313932000195
top20.z_switch_term,16.036784336762775
top20.reconstructed_R,-10.048549209508838
top20.closure_error,3.552713678800501e-15
top20.largest_component_class,b_backward_term
top20.largest_component_abs,779.0900039531796
top20.branch_inconsistent,False
top20.is_f0,True
repro97.row,97
repro97.node,97
repro97.j,3
repro97.i,2
repro97.z,0
repro97.sector,B
repro97.reproduced,True
