variant,row_type,boundary,direction,requested_outward_max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,requested_at_max,quantiles_q50_q90_q95_q99,offending_b_index,offending_a_index,offending_z_index,offending_b,offending_a,offending_z,offending_requested_outward_rate,,
V2_B_WIDE,offending,upper_a,a_forward,2.278442047e-01,,,,,,,12,19,0,2.421052632e+00,1.000000000e+01,8.000000000e-01,2.278442047e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.621391198e-01,,,,,,,12,19,1,2.421052632e+00,1.000000000e+01,1.300000000e+00,2.621391198e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.472667309e-01,,,,,,,13,19,0,2.789473684e+00,1.000000000e+01,8.000000000e-01,2.472667309e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.747991012e-01,,,,,,,13,19,1,2.789473684e+00,1.000000000e+01,1.300000000e+00,2.747991012e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.630121070e-01,,,,,,,14,19,0,3.157894737e+00,1.000000000e+01,8.000000000e-01,2.630121070e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.849422674e-01,,,,,,,14,19,1,3.157894737e+00,1.000000000e+01,1.300000000e+00,2.849422674e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.757081090e-01,,,,,,,15,19,0,3.526315789e+00,1.000000000e+01,8.000000000e-01,2.757081090e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.929287953e-01,,,,,,,15,19,1,3.526315789e+00,1.000000000e+01,1.300000000e+00,2.929287953e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.858361362e-01,,,,,,,16,19,0,3.894736842e+00,1.000000000e+01,8.000000000e-01,2.858361362e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.990498670e-01,,,,,,,16,19,1,3.894736842e+00,1.000000000e+01,1.300000000e+00,2.990498670e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.937736161e-01,,,,,,,17,19,0,4.263157895e+00,1.000000000e+01,8.000000000e-01,2.937736161e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.035440044e-01,,,,,,,17,19,1,4.263157895e+00,1.000000000e+01,1.300000000e+00,3.035440044e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.998223714e-01,,,,,,,18,19,0,4.631578947e+00,1.000000000e+01,8.000000000e-01,2.998223714e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.066095975e-01,,,,,,,18,19,1,4.631578947e+00,1.000000000e+01,1.300000000e+00,3.066095975e-01,,
