layer,variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,vb_boundary_closure,vb_backward,va_forward,va_backward,va_over_vb_minus_1,selected_transfer_candidate,candidate_source,is_top_layer,material_positive
n-5,J4_A153_B140,135,149,1,4.773684211e+01,9.802631579e+00,1.300000000e+00,B,F,1.937643218e+00,7.830021068e-01,-3.927592284e-01,5.501249422e-02,2.749270532e-02,-1.232583671e-01,-1.862652369e-02,-3.563732579e-01,3.377467342e-01,-5.551115123e-17,2.649915293e-01,2.663498000e-01,2.164060152e-01,2.172576971e-01,-1.801334265e-01,-3.927592284e-01,"d_fb(va_b,vb_f)",False,False
n-1,J4_A153_B140,139,150,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,B,B,1.952903327e+00,7.805489745e-01,-4.348553837e-01,6.264759111e-02,2.733712798e-02,-1.650810944e-01,1.996897737e-02,-3.522388152e-01,3.722077926e-01,-1.665334537e-16,3.634026301e-01,2.622035150e-01,2.121806832e-01,2.128749866e-01,-1.881306911e-01,-4.348553837e-01,"d_bb(va_b,vb_b)",True,True
n-2,J4_A153_B140,138,150,1,4.884210526e+01,9.868421053e+00,1.300000000e+00,B,F,1.951001007e+00,7.808533146e-01,-4.216674888e-01,6.018416728e-02,2.733712798e-02,-1.518931995e-01,5.956805927e-03,-3.555265155e-01,3.614833215e-01,1.665334537e-16,2.622035150e-01,2.627150864e-01,2.128840101e-01,2.135757901e-01,-1.854579444e-01,-4.216674887e-01,"d_fb(va_b,vb_f)",False,True
n-3,J4_A153_B140,137,150,1,4.847368421e+01,9.868421053e+00,1.300000000e+00,B,F,1.947631403e+00,7.813934173e-01,-4.141925870e-01,5.880354929e-02,2.733712798e-02,-1.444182978e-01,-1.697376020e-03,-3.570864138e-01,3.553890378e-01,-1.110223025e-16,2.627150864e-01,2.636249214e-01,2.136949057e-01,2.143904771e-01,-1.839430310e-01,-4.141925870e-01,"d_fb(va_b,vb_f)",False,False
n-5,J4_A153_B140,135,150,1,4.773684211e+01,9.868421053e+00,1.300000000e+00,B,F,1.938389751e+00,7.828814695e-01,-4.083598227e-01,5.773410040e-02,2.733712798e-02,-1.385855334e-01,-6.627373747e-03,-3.572530960e-01,3.506257223e-01,-5.551115123e-17,2.648013556e-01,2.661446804e-01,2.156939467e-01,2.164060152e-01,-1.827609240e-01,-4.083598226e-01,"d_fb(va_b,vb_f)",False,False
n-1,J4_A153_B140,139,151,1,4.921052632e+01,9.934210526e+00,1.300000000e+00,B,B,1.953371210e+00,7.804741845e-01,-4.489808598e-01,6.518996644e-02,2.717302812e-02,-1.790382778e-01,3.100155186e-02,-3.527893415e-01,3.837908934e-01,-1.665334537e-16,3.634026301e-01,2.620779210e-01,2.117251346e-01,2.121806832e-01,-1.903908486e-01,-4.489808598e-01,"d_bb(va_b,vb_b)",True,True
n-2,J4_A153_B140,138,151,1,4.884210526e+01,9.934210526e+00,1.300000000e+00,B,F,1.951538904e+00,7.807672178e-01,-4.356508595e-01,6.266994294e-02,2.717302812e-02,-1.657082776e-01,1.682136724e-02,-3.561595493e-01,3.729809166e-01,-1.110223025e-16,2.620779210e-01,2.625702836e-01,2.124337252e-01,2.128840101e-01,-1.877071929e-01,-4.356508595e-01,"d_fb(va_b,vb_f)",False,True
n-3,J4_A153_B140,137,151,1,4.847368421e+01,9.934210526e+00,1.300000000e+00,B,F,1.948253616e+00,7.812935863e-01,-4.278767636e-01,6.121677289e-02,2.717302812e-02,-1.579341816e-01,8.841050347e-03,-3.578189403e-01,3.666599907e-01,1.110223025e-16,2.625702836e-01,2.634565606e-01,2.132445356e-01,2.136949057e-01,-1.861420769e-01,-4.278767635e-01,"d_fb(va_b,vb_f)",False,True
n-5,J4_A153_B140,135,151,1,4.773684211e+01,9.934210526e+00,1.300000000e+00,B,F,1.939131794e+00,7.827616224e-01,-4.215552200e-01,6.004409031e-02,2.717302812e-02,-1.516126381e-01,3.383559650e-03,-3.581275701e-01,3.615111297e-01,0.000000000e+00,2.646127448e-01,2.659410294e-01,2.152350422e-01,2.156939467e-01,-1.848693953e-01,-4.215552200e-01,"d_fb(va_b,vb_f)",False,True
n-1,J4_A153_B140,139,152,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,B,B,1.953842935e+00,7.803988056e-01,-4.586941469e-01,6.690944674e-02,2.700000000e-02,-1.886941469e-01,3.844034001e-02,-3.533443602e-01,3.917847002e-01,1.110223025e-16,3.634026301e-01,2.619513869e-01,0.000000000e+00,2.117251346e-01,-1.917388294e-01,-4.586941469e-01,"d_bb(va_b,vb_b)",True,True
n-2,J4_A153_B140,138,152,1,4.884210526e+01,1.000000000e+01,1.300000000e+00,B,F,1.952077189e+00,7.806810921e-01,-4.451689166e-01,6.433442809e-02,2.700000000e-02,-1.751689166e-01,2.404148488e-02,-3.567930036e-01,3.808344885e-01,1.110223025e-16,2.619513869e-01,2.624254960e-01,0.000000000e+00,2.124337252e-01,-1.890337833e-01,-4.451689166e-01,"d_fb(va_b,vb_f)",False,True
n-3,J4_A153_B140,137,152,1,4.847368421e+01,1.000000000e+01,1.300000000e+00,B,F,1.948874026e+00,7.811940893e-01,-4.370461563e-01,6.280554990e-02,2.700000000e-02,-1.670461563e-01,1.569131254e-02,-3.585492938e-01,3.742406064e-01,-2.220446049e-16,2.624254960e-01,2.632888485e-01,0.000000000e+00,2.132445356e-01,-1.874092312e-01,-4.370461562e-01,"d_fb(va_b,vb_f)",False,True
n-5,J4_A153_B140,135,152,1,4.773684211e+01,1.000000000e+01,1.300000000e+00,B,F,1.939871489e+00,7.826422185e-01,-4.301307631e-01,6.151432364e-02,2.700000000e-02,-1.601307631e-01,9.617233924e-03,-3.589992055e-01,3.686164394e-01,5.551115123e-17,2.644250093e-01,2.657382557e-01,0.000000000e+00,2.152350422e-01,-1.860261526e-01,-4.301307630e-01,"d_fb(va_b,vb_f)",False,True
