index,k_lambda,k_delta,k_alpha,lam,trust_fraction,trust_radius,alpha,raw_direction_norm_inf,projected_direction_norm_inf,clipped_direction_norm_inf,linear_solve_residual_inf,finite,active_constraint_count,active_constraint_ids,min_pb_trial,min_pb_node,min_pb_nz,r_trial_inf,residual_ratio,absolute_decrease,armijo_rhs,armijo_pass,material_reduction_flag,max_abs_q1_trial,single_q_ok,conservativity_ok,accepted,reject_reason,nonfinite_reason
47,0,2,4,1.0,0.25,6.663852879462473e-05,0.0625,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435091453261514,0.9999997259341102,2.8599034074261453e-06,10.435029093825463,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
48,0,2,5,1.0,0.25,6.663852879462473e-05,0.03125,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435092883213247,0.999999862967058,1.4299516735150064e-06,10.435061703495192,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
49,0,2,6,1.0,0.25,6.663852879462473e-05,0.015625,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435093598189056,0.9999999314835263,7.149758651792126e-07,10.435078008330057,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
50,0,2,7,1.0,0.25,6.663852879462473e-05,0.0078125,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435093955677031,0.9999999657417672,3.5748788995704217e-07,10.435086160747488,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
51,0,2,8,1.0,0.25,6.663852879462473e-05,0.00390625,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435094134421119,0.9999999828708973,1.7874380198179551e-07,10.435090236956205,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
52,0,2,9,1.0,0.25,6.663852879462473e-05,0.001953125,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435094223792992,0.999999991435446,8.937192852442877e-08,10.435092275060564,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
53,0,2,10,1.0,0.25,6.663852879462473e-05,0.0009765625,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435094268479027,0.9999999957177297,4.468589409611923e-08,10.435093294112741,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
54,0,2,11,1.0,0.25,6.663852879462473e-05,0.00048828125,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435094290821946,0.9999999978588622,2.2342975469769044e-08,10.435093803638832,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
55,0,2,12,1.0,0.25,6.663852879462473e-05,0.000244140625,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435094301993452,0.9999999989294328,1.1171469083137708e-08,10.435094058401877,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
56,0,2,13,1.0,0.25,6.663852879462473e-05,0.0001220703125,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435094307579215,0.9999999994647192,5.585706119859424e-09,10.435094185783399,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
