variant,b_index,a_index,z_index,b,a,z,layer_kind,a_resolution,mu_a,mu_b,mu_W,b_outward,classification,dlh5k_interior_positive_trajectory,dlh5k_top_offender_trajectory,mu_W_inward_or_outward,positive_mu_b_coexists_with
J4_A153_B140,137,152,1,4.847368421e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.670461563e-01,1.569131254e-02,-1.513548437e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,138,149,1,4.884210526e+01,9.802631579e+00,1.300000000e+00,INTERIOR,a153,-1.359148368e-01,-6.784002347e-03,-1.426988391e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J4_A153_B140,138,150,1,4.884210526e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a153,-1.518931995e-01,5.956805927e-03,-1.459363936e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,138,151,1,4.884210526e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.657082776e-01,1.682136724e-02,-1.488869103e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,138,152,1,4.884210526e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.751689166e-01,2.404148488e-02,-1.511274317e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,139,146,0,4.921052632e+01,9.605263158e+00,8.000000000e-01,TOP,a153,-9.709439325e-02,-4.095243641e-01,-5.066187574e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J4_A153_B140,139,146,1,4.921052632e+01,9.605263158e+00,1.300000000e+00,TOP,a153,-9.751837907e-02,-3.488672505e-02,-1.324051041e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J4_A153_B140,139,148,0,4.921052632e+01,9.736842105e+00,8.000000000e-01,TOP,a153,-1.314368771e-01,-3.815272671e-01,-5.129641442e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J4_A153_B140,139,148,1,4.921052632e+01,9.736842105e+00,1.300000000e+00,TOP,a153,-1.320750133e-01,-6.590346531e-03,-1.386653598e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J4_A153_B140,139,149,1,4.921052632e+01,9.802631579e+00,1.300000000e+00,TOP,a153,-1.490410022e-01,7.126612376e-03,-1.419143899e-01,True,B_OUTWARD__TOTAL_INWARD,False,True,,
J4_A153_B140,139,150,0,4.921052632e+01,9.868421053e+00,8.000000000e-01,TOP,a153,-1.640988765e-01,-3.553687057e-01,-5.194675822e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J4_A153_B140,139,150,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,TOP,a153,-1.650810944e-01,1.996897737e-02,-1.451121171e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,139,151,1,4.921052632e+01,9.934210526e+00,1.300000000e+00,TOP,a153,-1.790382778e-01,3.100155186e-02,-1.480367260e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,139,152,0,4.921052632e+01,1.000000000e+01,8.000000000e-01,TOP,a153,-1.871463207e-01,-3.374740354e-01,-5.246203561e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J4_A153_B140,139,152,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,TOP,a153,-1.886941469e-01,3.844034001e-02,-1.502538069e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J5_A153_B160,155,151,1,5.510526316e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.514857608e-01,-1.891612249e-02,-1.704018833e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J5_A153_B160,155,152,1,5.510526316e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.600524542e-01,-1.264679155e-02,-1.726992458e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J5_A153_B160,157,151,1,5.584210526e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.573373871e-01,-1.397451831e-02,-1.713119054e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J5_A153_B160,157,152,1,5.584210526e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.664537099e-01,-7.133098607e-03,-1.735868085e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J5_A153_B160,158,151,1,5.621052632e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.647738117e-01,-6.385229658e-03,-1.711590413e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J5_A153_B160,158,152,1,5.621052632e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.742260246e-01,8.136253616e-04,-1.734123992e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J5_A153_B160,159,146,0,5.657894737e+01,9.605263158e+00,8.000000000e-01,TOP,a153,-9.600020672e-02,-4.243846588e-01,-5.203848655e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J5_A153_B160,159,146,1,5.657894737e+01,9.605263158e+00,1.300000000e+00,TOP,a153,-9.644029773e-02,-5.825323742e-02,-1.546935351e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J5_A153_B160,159,148,0,5.657894737e+01,9.736842105e+00,8.000000000e-01,TOP,a153,-1.303306996e-01,-3.964126390e-01,-5.267433386e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J5_A153_B160,159,148,1,5.657894737e+01,9.736842105e+00,1.300000000e+00,TOP,a153,-1.309686578e-01,-3.000302364e-02,-1.609716814e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J5_A153_B160,159,150,0,5.657894737e+01,9.868421053e+00,8.000000000e-01,TOP,a153,-1.629775515e-01,-3.702828514e-01,-5.332604029e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J5_A153_B160,159,150,1,5.657894737e+01,9.868421053e+00,1.300000000e+00,TOP,a153,-1.639332858e-01,-3.501146757e-03,-1.674344325e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J5_A153_B160,159,151,1,5.657894737e+01,9.934210526e+00,1.300000000e+00,TOP,a153,-1.778682098e-01,7.500771578e-03,-1.703674383e-01,True,B_OUTWARD__TOTAL_INWARD,False,True,,
J5_A153_B160,159,152,0,5.657894737e+01,1.000000000e+01,8.000000000e-01,TOP,a153,-1.860377816e-01,-3.523972065e-01,-5.384349881e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J5_A153_B160,159,152,1,5.657894737e+01,1.000000000e+01,1.300000000e+00,TOP,a153,-1.875122934e-01,1.491625647e-02,-1.725960369e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
