variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,mu_W,mu_W_transfer_cancelled_reconstruction,transfer_cancellation_residual,linear_d_contribution_mu_a,linear_negd_contribution_mu_b,linear_d_cancellation_sum,is_top_layer,material_positive
J3_A153_B120,115,152,1,4.036842105e+01,1.000000000e+01,1.300000000e+00,B,F,1.826671723e+00,8.016932985e-01,-4.302504871e-01,6.153659687e-02,2.700000000e-02,-1.602504871e-01,3.343957800e-02,-3.352743122e-01,3.687138902e-01,0.000000000e+00,-1.268109091e-01,-1.268109091e-01,0.000000000e+00,-4.302504871e-01,4.302504871e-01,0.000000000e+00,False,True
J3_A153_B120,117,147,1,4.110526316e+01,9.671052632e+00,1.300000000e+00,B,F,1.832389984e+00,8.006916360e-01,-3.640282705e-01,5.010522189e-02,2.777983641e-02,-9.536801046e-02,-1.712373049e-02,-3.310467791e-01,3.139230486e-01,0.000000000e+00,-1.124917409e-01,-1.124917409e-01,0.000000000e+00,-3.640282705e-01,3.640282705e-01,0.000000000e+00,False,False
J3_A153_B120,117,148,1,4.110526316e+01,9.736842105e+00,1.300000000e+00,B,F,1.833013025e+00,8.005827628e-01,-3.816910206e-01,5.313165702e-02,2.764014998e-02,-1.125632444e-01,-3.230761525e-03,-3.317901251e-01,3.285593636e-01,-1.665334537e-16,-1.157940060e-01,-1.157940060e-01,-1.665334537e-16,-3.816910206e-01,3.816910206e-01,0.000000000e+00,False,False
J3_A153_B120,117,149,1,4.110526316e+01,9.802631579e+00,1.300000000e+00,B,F,1.833627480e+00,8.004754408e-01,-3.988604465e-01,5.611532498e-02,2.749270532e-02,-1.293595852e-01,1.022195061e-02,-3.325231709e-01,3.427451216e-01,1.110223025e-16,-1.191376345e-01,-1.191376345e-01,1.110223025e-16,-3.988604465e-01,3.988604465e-01,0.000000000e+00,False,True
J3_A153_B120,117,150,1,4.110526316e+01,9.868421053e+00,1.300000000e+00,B,F,1.834235033e+00,8.003693739e-01,-4.148895130e-01,5.893179318e-02,2.733712798e-02,-1.451152237e-01,2.270979287e-02,-3.332479269e-01,3.559577198e-01,1.110223025e-16,-1.224054309e-01,-1.224054309e-01,1.387778781e-16,-4.148895130e-01,4.148895130e-01,0.000000000e+00,False,True
J3_A153_B120,117,151,1,4.110526316e+01,9.934210526e+00,1.300000000e+00,B,F,1.834837961e+00,8.002641628e-01,-4.285894441e-01,6.134948385e-02,2.717302812e-02,-1.586468621e-01,3.327284609e-02,-3.339671141e-01,3.672399602e-01,5.551115123e-17,-1.253740160e-01,-1.253740160e-01,5.551115123e-17,-4.285894441e-01,4.285894441e-01,0.000000000e+00,False,True
J3_A153_B120,117,152,1,4.110526316e+01,1.000000000e+01,1.300000000e+00,B,F,1.835439032e+00,8.001593241e-01,-4.377573002e-01,6.293887541e-02,2.700000000e-02,-1.677573002e-01,4.013439311e-02,-3.346840317e-01,3.748184248e-01,2.220446049e-16,-1.276229071e-01,-1.276229071e-01,2.220446049e-16,-4.377573002e-01,4.377573002e-01,0.000000000e+00,False,True
J3_A153_B120,118,147,1,4.147368421e+01,9.671052632e+00,1.300000000e+00,B,F,1.835885214e+00,8.000815322e-01,-3.712374655e-01,5.137423830e-02,2.777983641e-02,-1.025772054e-01,-9.826630700e-03,-3.296898579e-01,3.198632272e-01,1.110223025e-16,-1.124038361e-01,-1.124038361e-01,1.249000903e-16,-3.712374655e-01,3.712374655e-01,0.000000000e+00,False,False
J3_A153_B120,118,148,1,4.147368421e+01,9.736842105e+00,1.300000000e+00,B,F,1.836416331e+00,7.999889663e-01,-3.890730492e-01,5.445421797e-02,2.764014998e-02,-1.199452731e-01,4.295571428e-03,-3.303232598e-01,3.346188312e-01,-5.551115123e-17,-1.156497016e-01,-1.156497016e-01,-5.551115123e-17,-3.890730492e-01,3.890730492e-01,0.000000000e+00,False,True
J3_A153_B120,118,149,1,4.147368421e+01,9.802631579e+00,1.300000000e+00,B,F,1.836940529e+00,7.998976430e-01,-4.064468319e-01,5.749720139e-02,2.749270532e-02,-1.369459705e-01,1.800126012e-02,-3.309483704e-01,3.489496305e-01,5.551115123e-17,-1.189447104e-01,-1.189447104e-01,5.551115123e-17,-4.064468319e-01,4.064468319e-01,0.000000000e+00,False,True
