r_a,r_b,L,finite,hjb_converged,hjb_statistic,kfe_mass_error,kfe_min_mass,R1,R2,R3,R1_norm,R2_norm,R3_norm,resid_inf_norm,A_hh,B_hh,L_hh,K,w,Y,T,R_resource_structural,W_taper,R_resource_faithful,R_wealth_chain,R_wealth_direct
0.0,0.06250000000000001,2.65,1,1,8.242402316227526e-09,1.1102230246251565e-16,-3.7442208114647675e-16,-171.07528329083277,3.6586003068582666,-1.8638654304687265,-1.0,3.6586003068582666,-0.7033454454598969,3.6586003068582666,-6.698033372096254e-15,4.658600306858267,0.7861345695312733,171.07528329083277,2.8691871411460426,11.880228006307831,1.0780018886055518,4.316949397859738,0.0,4.316949397859738,4.316949397859738,3.45455043456988e-16
0.0,0.06250000000000001,3.0,1,1,6.411420727658879e-09,2.220446049250313e-16,-7.276444380162938e-19,-193.67013202735765,3.686711417987155,-2.2253855292366715,-0.999999999999999,3.686711417987155,-0.7417951764122238,3.686711417987155,1.9031575277845327e-13,4.686711417987155,0.7746144707633286,193.67013202735785,2.8691871411460426,13.449314724122072,1.228634213515719,5.196870949267379,0.0,5.196870949267379,5.196870949267382,-9.195049548256857e-15
0.0,0.08125000000000003,0.2,1,1,1.8070323903884855e-08,1.1102230246251565e-16,-2.460352359674897e-16,-12.911342135157195,3.69202686655356,0.6734234750736241,-1.0000000000000002,3.69202686655356,3.3671173753681205,3.69202686655356,-4.0181987799804985e-15,4.69202686655356,0.8734234750736242,12.911342135157192,2.8691871411460426,0.8966209816081382,0.0048256142343812425,-1.942328461850533,0.0,-1.942328461850533,-1.942328461850533,1.7575487848712392e-16
0.0,0.08125000000000003,0.55,1,1,1.3575327528769776e-08,1.1102230246251565e-16,-8.676791955041884e-18,-35.50619087168227,3.722684849737753,0.30792229991608244,-0.9999999999999998,3.722684849737753,0.5598587271201498,3.722684849737753,5.5736646992154146e-15,4.722684849737753,0.8579222999160825,35.50619087168228,2.8691871411460426,2.4657076994223805,0.15545793914454847,-1.0534318419238307,0.0,-1.0534318419238307,-1.0534318419238307,-2.7469714900864686e-16
0.0,0.08125000000000003,0.8999999999999999,1,1,1.980579256155579e-08,1.1102230246251565e-16,-6.907978968629301e-32,-58.101039608207344,3.750721812604782,-0.05683127578185676,-0.9999999999999999,3.750721812604782,-0.06314586197984084,3.750721812604782,9.958148285651347e-15,4.750721812604782,0.8431687242181432,58.10103960820735,2.8691871411460426,4.034794417236622,0.3060902640547156,-0.1661455164391455,0.0,-0.1661455164391455,-0.1661455164391457,-4.4132134081360086e-16
0.0,0.08125000000000003,1.2499999999999998,1,1,3.118233848908858e-08,1.1102230246251565e-16,-1.8295283518990513e-16,-80.69588834473242,3.7777191292291112,-0.4209005251878717,-1.0,3.7777191292291112,-0.3367204201502974,3.7777191292291112,-3.1856810712312805e-15,4.777719129229111,0.8290994748121281,80.69588834473242,2.8691871411460426,5.603881135050862,0.4567225889648828,0.7195563391351937,0.0,0.7195563391351937,0.7195563391351941,1.2916722170154178e-16
0.0,0.08125000000000003,1.5999999999999999,1,1,2.0337960648930675e-08,2.220446049250313e-16,-2.8610115111519796e-16,-103.29073708125752,3.802082247793379,-0.7843121834885732,-1.0,3.802082247793379,-0.4901951146803583,3.802082247793379,-4.862296184514337e-15,4.802082247793379,0.8156878165114266,103.29073708125752,2.8691871411460426,7.172967852865106,0.60735491387505,1.6038684841499398,0.0,1.6038684841499398,1.6038684841499393,1.829868974105175e-16
0.0,0.08125000000000003,1.95,1,1,1.2896578027721262e-08,2.220446049250313e-16,-7.632404535466994e-32,-125.88558581778258,3.8285090474688888,-1.14715394586425,-0.9999999999999999,3.8285090474688888,-0.5882840748021795,3.8285090474688888,7.499835003546942e-15,4.828509047468889,0.80284605413575,125.8855858177826,2.8691871411460426,8.742054570679349,0.7579872387852173,2.486623087723506,0.0,2.486623087723506,2.486623087723505,-2.8120780557939836e-16
0.0,0.08125000000000003,2.3,1,1,7.498787368831472e-09,4.440892098500626e-16,-6.327270341007857e-16,-148.48043455430766,3.846552717180751,-1.5093583686624623,-1.0,3.846552717180751,-0.6562427689836793,3.846552717180751,-1.0315908222352789e-14,4.846552717180751,0.7906416313375375,148.48043455430766,2.8691871411460426,10.31114128849359,0.9086195636953844,3.368504471064443,0.0,3.368504471064443,3.3685044710644427,3.713557623919325e-16
0.0,0.08125000000000003,2.65,1,1,8.830715714225335e-08,2.220446049250313e-16,-8.087460017354236e-16,-171.07528329083277,3.867082383015309,-1.8710700764679222,-1.0,3.867082383015309,-0.706064179799216,3.867082383015309,-1.294495665662053e-14,4.867082383015309,0.7789299235320777,171.07528329083277,2.8691871411460426,11.880228006307831,1.0592518886055518,4.248982229427175,0.0,4.248982229427175,4.248982229427176,4.184479786372864e-16
0.0,0.08125000000000003,3.0,1,1,5.240089251401514e-09,2.220446049250313e-16,-2.8870251492450246e-15,-193.6701320273579,3.8919843530506677,-2.2323358113919376,-1.0000000000000002,3.8919843530506677,-0.7441119371306458,3.8919843530506677,-4.543385232813807e-14,4.891984353050668,0.7676641886080626,193.67013202735785,2.8691871411460426,13.449314724122072,1.209884213515719,5.12801709536536,0.0,5.12801709536536,5.128017095365363,1.4114209954678882e-15
0.0,0.1,0.2,1,1,1.1755208362274061e-08,1.1102230246251565e-16,-2.9105182822432585e-16,-12.911342135157197,3.8589361084479394,0.6641046240628434,-1.0000000000000004,3.8589361084479394,3.320523120314217,3.8589361084479394,-5.0345907906605735e-15,4.858936108447939,0.8641046240628435,12.911342135157192,2.8691871411460426,0.8966209816081382,-0.013924385765618733,-2.005517991421021,0.0,-2.005517991421021,-2.005517991421021,1.6684099469782474e-16
0.0,0.1,0.55,1,1,6.077257808101422e-09,2.220446049250313e-16,-2.5977266668605854e-16,-35.506190871682286,3.8822908491790233,0.2990384734580961,-1.0000000000000002,3.8822908491790233,0.5437063153783565,3.8822908491790233,-4.375361233880573e-15,4.882290849179023,0.8490384734580961,35.50619087168228,2.8691871411460426,2.4657076994223805,0.1367079391445485,-1.1175268262587268,0.0,-1.1175268262587268,-1.1175268262587268,1.4194939468242346e-16
0.0,0.1,0.8999999999999999,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.1,1.2499999999999998,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.1,1.5999999999999999,1,1,1.508614388967544e-08,1.1102230246251565e-16,-1.8812392393923385e-32,-103.29073708125752,3.934307221907554,-0.7919404485640288,-1.0,3.934307221907554,-0.494962780352518,3.934307221907554,5.47047530222766e-15,4.934307221907554,0.8080595514359711,103.29073708125752,2.8691871411460426,7.172967852865106,0.5886049138750501,1.5379608266465843,0.0,1.5379608266465843,1.5379608266465834,-1.2856841137096342e-16
